Actual,Predicted
20,23.583828
20,24.537441
27,18.985767
15,22.83543
20,24.537441
40,31.799217
15,18.431873
12,15.883472
20,28.528227
11,14.718419
13,16.248655
31,21.078188
17,23.583828
22,24.786533
32,27.014484
22,25.218155
22,25.218155
22,25.218155
22,25.218155
22,25.218155
22,25.218155
22,25.218155
22,25.218155
22,25.218155
20,22.290466
37,26.22351
30,25.428291
20,28.528227
32,25.065565
31,23.812992
30,28.576603
50,31.577229
75,24.075485
50,26.724636
50,26.724636
33,20.26993
85,35.6998
20,25.441671
29,25.441671
30,34.60681
30,30.954859
19,20.589905
11,18.938217
11,14.487573
15,18.854189
17,19.40288
50,23.28932
11,20.02269
20,20.5445
11,20.105791
11,17.488762
19,21.45862
25,20.43152
50,26.938786
12,19.670864
12,17.679186
73,19.958736
27,19.451801
14,19.387178
14,17.665289
20,19.946207
16,17.188503
11,18.581514
30,26.427668
12,20.86474
14,20.792282
14,19.396027
14,18.96524
12,18.50209
60,24.92366
12,15.493704
12,19.343357
12,20.640646
15,21.284536
22,20.141201
47,18.71407
40,25.210598
20,25.814909
20,24.931332
12,19.959171
21,18.691328
40,24.270655
68,27.474094
21,18.923544
13,18.50209
17,18.50209
11,15.941481
17,17.89843
34,19.343357
33,19.343357
12,18.01631
15,25.742107
22,21.08289
23,19.117052
25,23.709656
36,21.08289
15,18.9147
13,22.225788
13,21.646933
13,19.946207
20,20.442375
17,26.974466
15,20.439962
15,17.169039
20,21.746181
36,21.746181
20,19.581043
70,25.197916
20,18.575686
33,20.969664
25,19.346045
60,26.331905
17,20.557838
100,26.331905
11,18.86192
13,18.942148
16,21.014898
13,20.86474
11,17.367247
20,20.837177
41,20.354202
17,17.438944
18,20.59772
12,21.190678
20,20.77384
22,25.653618
21,21.315582
12,22.124508
14,19.45521
16,19.86698
11,22.792824
11,20.724842
15,20.037807
40,22.386406
28,21.760714
37,20.037807
32,21.527624
26,15.973415
17,21.190678
51,26.12507
30,18.840519
11,21.523214
11,17.194195
12,20.826063
20,16.543573
13,19.453152
25,19.783104
25,19.783104
17,18.152512
11,16.745733
17,19.470606
11,19.870565
37,25.01039
12,23.23052
60,21.190678
22,20.093843
25,26.478859
65,26.478859
12,22.461426
50,21.770197
17,21.13479
12,23.449219
100,25.559017
55,22.36174
11,20.377884
11,19.649008
11,17.877125
12,19.258476
20,18.401287
15,20.59772
20,24.090065
17,19.614025
15,15.953634
16,19.948814
13,19.211834
72,21.13479
11,21.13479
12,16.667006
43,22.234915
17,16.904066
11,19.033636
44,22.792824
40,22.792824
11,19.660486
20,19.10948
11,17.27674
25,22.621033
14,19.039024
18,19.907375
21,20.251997
63,25.01039
50,23.740032
17,18.227852
26,22.684
11,15.771395
33,19.2193
18,23.229105
13,23.320072
13,23.237743
14,19.225851
13,19.949465
12,18.818888
11,19.365938
14,13.974573
53,22.462858
15,26.70558
35,28.956831
15,21.988668
50,25.561356
39,21.623362
35,27.87276
11,21.249886
20,20.418468
14,22.707258
32,23.522625
25,25.612896
24,19.949465
20,23.564318
19,25.363363
31,21.979095
31,21.979095
25,23.774355
25,23.774355
20,23.319117
24,20.308384
25,18.551252
55,25.137548
16,19.65211
18,19.65211
13,20.434095
16,23.619068
13,18.017534
40,21.682425
11,16.225752
18,19.396357
52,25.260294
25,22.462858
11,19.92537
18,19.813917
12,19.099669
17,15.28776
30,22.386356
16,22.462858
25,21.560701
31,22.855715
30,27.87276
14,21.661879
71,24.03064
22,19.314127
16,23.320072
12,13.909676
11,14.539168
12,16.296116
18,19.96193
20,18.511694
40,23.774355
21,20.335434
30,23.774355
30,25.612896
17,19.231293
19,19.984411
30,20.370684
19,18.73023
18,18.031128
15,20.110899
12,18.774446
40,21.354088
43,21.01778
20,21.01778
12,16.62338
12,14.818595
18,22.636948
17,22.636948
13,21.316885
19,19.785206
13,18.44586
19,16.227125
20,20.62506
20,20.62506
40,19.314127
64,19.314127
15,15.087723
11,19.949465
19,20.370684
60,23.144474
12,24.006416
11,19.855927
53,21.592388
12,23.619068
29,19.855927
43,24.136738
11,22.655506
14,22.655506
60,22.655506
13,20.349463
20,23.677664
20,21.316885
17,22.636948
34,22.636948
20,27.87276
15,20.26383
15,24.03064
12,23.032633
12,16.403778
100,23.032633
25,23.227545
22,23.227545
51,21.601246
11,18.798264
12,22.611567
16,16.848759
11,20.228773
16,18.864368
47,26.2775
20,18.276245
13,22.573463
13,21.892738
20,19.999956
13,23.695644
20,17.282505
13,23.615992
15,24.344242
60,20.183098
25,23.695644
40,19.999956
37,19.999956
20,19.093914
